Sample,Inoculate,time,Lactic_acid,Acetic_acid,Ethanol,Glucose
1_1,LAB,0,3.65,0.52,6.17,3.55
1_2,LAB,0,3.73,0.5,3.67,3.91
1_3,LAB,0,3.54,0.66,3.71,4.07
1_4,LAB,3,4.7,0.5,4.69,2.33
1_5,LAB,3,4.79,0.44,4.71,2.42
1_6,LAB,3,4.84,0.53,4.93,2.52
1_7,LAB,10,4.96,0.62,4.44,2.27
1_8,LAB,10,5.1,0.53,4.5,2.3
1_9,LAB,10,5.04,0.61,4.99,2.28
1_10,LAB,30,6.8,1.51,5.17,2.4
1_11,LAB,30,7.13,1.03,5.41,2.32
1_12,LAB,30,6.93,1.44,5.2,2.24
1_13,LAB,45,5.4,0.97,4.13,2.4
1_14,LAB,45,5.82,1.61,4.22,2.48
1_15,LAB,45,5.61,1.29,4.175,2.44
2_1,WESS,0,3.88,0.78,4.63,1.64
2_2,WESS,0,3.5,0.48,3.83,2.38
2_3,WESS,0,2.91,0.36,2.37,1.98
2_4,WESS,3,4.75,0.39,4.65,2.78
2_5,WESS,3,5.2,0.47,5.43,2.2
2_6,WESS,3,4.34,0.36,4.8,2.92
2_7,WESS,10,7.4,1.02,6,2.19
2_8,WESS,10,6.87,0.54,4.45,2.23
2_9,WESS,10,4.97,0.58,4.17,1.91
2_10,WESS,30,6.34,0.91,4.88,1.93
2_11,WESS,30,6.7,1.46,5.06,0.74
2_12,WESS,30,7.81,1.26,5.74,0.62
2_13,WESS,45,5.66,1.52,4.3,2.17
2_14,WESS,45,5.64,1.47,4.37,2.26
2_15,WESS,45,6.18,1.56,4.78,2.07
3_1,Pichi,0,2.52,0.18,3.62,2.01
3_2,Pichi,0,3.8,0.39,4.6,1.13
3_3,Pichi,0,2.75,0.68,3.9,2.63
3_4,Pichi,3,4.39,0.33,4.87,2.59
3_5,Pichi,3,4.43,0.39,4.9,2.68
3_6,Pichi,3,5.1,0.4,5.18,2.52
3_7,Pichi,10,6.13,0.64,4.83,1.91
3_8,Pichi,10,8.28,0.99,6.08,1.68
3_9,Pichi,10,7.87,0.97,5.91,1.67
3_10,Pichi,30,5.19,0.85,4.12,0.72
3_11,Pichi,30,5.62,1.05,4.2,0.66
3_12,Pichi,30,5.51,0.98,4.06,0.63
3_13,Pichi,45,5.82,1.61,4.58,0.71
3_14,Pichi,45,5.36,1.07,4.01,2.08
3_15,Pichi,45,5.89,1.85,4.55,1.72
4_1,Sac,0,2.52,0.38,3.87,2.77
4_2,Sac,0,3.61,0.35,4.47,1.23
4_3,Sac,0,3.74,0.37,4.32,2.35
4_4,Sac,3,4.75,0.4,5.04,2.72
4_5,Sac,3,4.58,0.38,5.01,2.77
4_6,Sac,3,4.63,0.38,4.93,2.71
4_7,Sac,10,5.58,0.61,4.69,0.17
4_8,Sac,10,5.18,1.01,4.73,2.25
4_9,Sac,10,5.67,0.63,4.9,1.99
4_10,Sac,30,5.48,0.77,4.29,2.15
4_11,Sac,30,5.74,0.77,4.65,0.75
4_12,Sac,30,8.57,1.39,5.87,0.51
4_13,Sac,45,5.82,1.4,4.26,1.83
4_14,Sac,45,5.86,1.33,4.29,1.96
4_15,Sac,45,5.2,1.6,4.27,1.96
5_1,Canda,0,2.34,1.03,2.67,4.34
5_2,Canda,0,3.26,0.45,2.91,3.49
5_3,Canda,0,3.41,0.45,3.1,3.51
5_4,Canda,3,4.28,0.35,4.56,2.69
5_5,Canda,3,4.2,0.34,4.65,2.73
5_6,Canda,3,4.66,0.49,4.92,2.74
5_7,Canda,10,5.39,0.54,4.64,2.35
5_8,Canda,10,5.73,0.63,4.82,2.21
5_9,Canda,10,5.16,0.97,4.69,2.31
5_10,Canda,30,5.22,0.79,4.12,2.57
5_11,Canda,30,6.41,1.41,4.92,2.05
5_12,Canda,30,6.13,0.85,4.68,2.04
5_13,Canda,45,5.33,1.61,4.37,2.11
5_14,Canda,45,5.4,1.33,4.31,2.06
5_15,Canda,45,5.28,1.11,4.26,2.07
6_1,CK,0,2.49,0.23,3.14,3.91
6_2,CK,0,2.32,0.65,2.93,4.32
6_3,CK,0,3.5,0.5,3.13,3.68
6_4,CK,3,4.37,0.36,4.61,2.74
6_5,CK,3,4.34,0.42,4.7,2.74
6_6,CK,3,4.4,0.4,4.73,2.6
6_7,CK,10,7.35,0.83,6.11,2.28
6_8,CK,10,7.75,0.96,6.19,2.27
6_9,CK,10,7.54,0.95,5.95,2.15
6_10,CK,30,6.66,1.38,5.08,2.13
6_11,CK,30,5.62,0.78,4.68,2.48
6_12,CK,30,6.19,0.88,4.83,2.13
6_13,CK,45,5.22,1.92,3.84,1.83
6_14,CK,45,4.97,1.41,3.7,2.15
6_15,CK,45,5.87,1.42,4.38,2.24
